,Year,Date,District,Address,Building,Cause
97,2017,12-14,Tsuen Wan,Lei Muk Shue Estate,Yeung Shue House,40 years old man fell off the building and died on the platform
98,2017,12-13,Tsuen Wan,Lei Muk Shue Estate,Kwai Shue House,A man fell from the apartment and died
99,2017,12-11,Yuen Long,Long Ping Estate,Hay Ping House,A man fell off the building and died on the platform
100,2017,12-10,Tseung Kwan O,Tong Ming Court,Tong Wong House,15 years old girl jumped off the building and died
101,2017,12-09,Sha Tin,Shui Chuen O Estate,Ho Chuen House,33 years old woman jumped off the building due to relationship problem
102,2017,12-06,Hung Hom,Ka Wai Chuen,Ka Yee Lau,87 years old man was burnt to death at home
103,2017,12-06,Tsuen Wan,Moon Lok Dai Ha,On Ning Building,60 years old woman fell off the building and died
104,2017,12-06,Tuen Mun,Sam Shing Estate,,22 years old man fell off the building and died
105,2017,12-05,Tseung Kwan O,Sheung Tak Estate,Sheung Lai House,A man committed suicide at home
106,2017,12-01,Ngau Tau Kok,Choi Fook Estate,Choi Hay House,58 years old man was found dead at home
107,2017,11-30,Kwai Chung,On Yam Estate,Chak Yam House,A middle-aged woman fell off the building and died
108,2017,11-29,Chai Wan,Wan Tsui Estate,Chak Tsui House,60 years old man fell off the building and died
109,2017,11-29,Wong Tai Sin,Fung Tak Estate,Chu Fung House,A middle-aged man fell off to the platform and died
110,2017,11-24,Ho Man Tin,Oi Man Estate,Tun Man House,A woman fell off the building and died
111,2017,11-23,Sai Kung,,"1, Chui Tong Road",A man fell off the building and died
112,2017,11-22,Sheung Shui,,Vienna Garden Block 3,A man was found dead on a platform
113,2017,11-22,Chai Wan,,Yee Tsui Court,60 years old man fell off the building and died
114,2017,11-20,Sau Mau Ping,Sau Mau Ping Estate,Sau Wo House,A man hanged himself and died in the apartment
115,2017,11-17,Aberdeen,Aberdeen Centre,Kong Hing Court,A woman fell off the building and died
116,2017,11-16,Sham Shui Po,,272 Tai Nan Street,A woman was found dead on the rooftop
117,2017,11-15,Tuen Mun,Tai Hing Estate,Hing Shing House,A man fell from the apartment and died
118,2017,11-15,Sham Shui Po,Fu Cheong Estate,Fu Ying House,A man fell from the apartment and died
119,2017,11-15,Ap Lei Chau,Lei Tung Estate,Tung Sing House,70 years old single man fell off the building and died
120,2017,11-09,Wong Tai Sin,Lower Wong Tai Sin Estate,Lung Wing House,A man fell from the apartment and died
121,2017,11-06,Mong Kok,,Cheong Wai Mansion,21 years old man fell off the apartment and died due to high pressure on study and work
122,2017,11-06,Tsuen Wan,,City Point Block 8,30 years old man burnt charcoal and died with his mother at home
123,2017,11-04,Sau Mau Ping,Shun Lee Estate,Lee Yat House,30 years old lady feel off the building and died
124,2017,11-02,Causeway Bay,,Pearl City Mansion,A man fell from the apartment and died
125,2017,11-02,Ma On Shan,Lee On Estate,Lee Shing House,A man fell from the apartment and died
126,2017,11-01,Tuen Mun,,Hing Fook Building Block B,41 years old lady died at home
127,2017,10-29,Tai Kok Tsui,Cosmopolitan Estates,Tai Moon Building,81 years old lady fell off the building due to health problem
128,2017,10-28,Yuen Long,,142-148 Castle Peak Road,60 years old man hanged himself and died in the toilet
129,2017,10-28,Cheung Sha Wan,Yee Ching Court,Ning Ching House,23 years old man fell off the building and died
130,2017,10-28,Shatin,Mei Lam Estate,Mei Fung House,49 years old man fell off the building and died
131,2017,10-27,Tin Shui Wai,Tin Chak Estate,Chak Fai House,A woman fell off the building and died
132,2017,10-25,Tseung Kwan O,Kwong Ming Court,Kwong Lung House,71 years old man fell from the apartment and died
133,2017,10-25,Kwai Chung,Kwai Luen Estate,Luen Yan House,62 years old man committed suicide
134,2017,10-23,Tai Po,,Po Nga Court,A man over 60 years old fell off the building and died
135,2017,10-23,Ngau Tau Kok,,,A man fell off the building and died
136,2017,10-23,Yuen Long,,,4 years old girl fell off the platform and died
137,2017,10-23,Kwai Chung,Shek Wai Kok Estate,Shek Lan House,A man over 70 years old fell off the building and died
138,2017,10-23,Tin Shui Wai,Tin Shui Estate,Shui Fung House,77 years old woman hanged in the apartment and died
139,2017,10-23,Tin Shui Wai,,Kingswood,46 years old man fell from the apartment and died
140,2017,10-23,Tai Po,Po Nga Court,Ka Wo House,70 years old man fell from the apartment and died
141,2017,10-23,Kwun Tong,Lok Wah South Estate,Hei Wah House,75 years old man fell from the apartment and died
142,2017,10-22,Kwai Chung,,Lei Muk Shue Estate Block 4,39 years old woman fell off the building and died
143,2017,10-22,Ma Wan,,Park Island Block 5,A man fell off the building and died
144,2017,10-21,Tsing Yi,Wang Yee House,Cheung Wang Estate,45 years old man died in the bathroom
145,2017,10-20,Kwai Chung,Kwai Shing East Estate,Shing F山 House,19 years old man fell off the building and died
146,2017,10-19,Yuen Long,Shui Pin Wai Estate,Chuen Shui House,A man fell off the building and died
147,2017,10-18,Tin Shui Wai,Tin Tsz Estate,Tsz Fai House,68 years old man fell off the building due to health problem
148,2017,10-17,Yau Ma Tei,,Shanghai Mansion,A man and a woman burnt charcoal and died at home
149,2017,10-17,Tai Po,,Full Scene Garden Block 2,36 years old pregnant woman fell off the building and died
150,2017,10-16,Shatin,,Prima Villa Block 5,A man over 50 years old fell off the building and died
151,2017,10-16,Wong Tai Sin,黄大仙上村,Kai Sin House,A woman jumped off the apartment and died
152,2017,10-15,Tai Kok Tsui,,The Long Beach,44 years old man fell off the building and died
153,2017,10-15,Siu Sai Wan,Siu Sai Wan Estate,Sui Yick House,64 years old man fell off the building and died
154,2017,10-14,Kowloon Bay,Kai Yip Estate,Kai Yue House,A man fell off the building and died
155,2017,10-13,Cheung Sha Wan,,Banyan Garden,A man fell off the building and died
156,2017,10-13,Ap Lei Chau,Ap Lei Chau Estate,Lei Yee House,A man fell off the building and died
157,2017,10-13,Sai Ying Pun,,Pan View Court,53 years od man hanged himself and died
158,2017,10-13,Shau Kei Wan,,Heung Yuen Garden,69 years old man fell off the building and died
159,2017,10-12,Sheung Wan,,81 85 Bonham Strand West,39 years old British man hanged in his apartment
160,2017,10-12,Kwai Chung,Tai Wo Hau Estate,Fu Pik House,A man over 30 years old burnt charcoal and died at home
161,2017,10-12,Sheung Shui,Ching Ho Estate,Ching Chiu House,A 40 years old couple burnt charcoal and died at home
162,2017,10-12,Yau Ma Tei,,Pilkem House,A man over 60 years old fell off the building and died
163,2017,10-12,Tai Po,Kwong Fuk Estate,Kwong Yau House,11 years old teenager fell off the building and died
164,2017,10-12,Shatin,Kwong Yuen Estate,Pine House,27 years old man fell off the building and died
165,2017,10-12,Tseung Kwan O,Chung Ming Court Block C,Yin Ming House,66 years old man hanged in the apartment and died
166,2017,10-11,Tai Po,Tai Po Plaza,Yee Fai Court,41 years old woman fell off the building and died
167,2017,10-09,Tseung Kwan O,,Verbena Heights Block 7,A man fell off the platform and died
168,2017,10-09,Kwai Chung,Kwai Shing East Estate,Shing On House,77 years old loday has been murdered by her son
169,2017,10-09,North Point,,77 Cloud View Road,60 years old woman fell off from the apartment
170,2017,10-09,Tuen Mun,,Lung Mun Oasis Block 6,48 years old man fell off the building and died
171,2017,10-08,Kowloon Bay,,Richland Garden Block 7,38 years old woman hanged in the bathroom and died
172,2017,10-07,Wong Tai Sin,Wang Tau Hom Estate,Wang Tak House,A man over 50 years old hanged at the apartment
173,2017,10-07,Tseung Kwan O,Sheung Tak Estate,Sheung Nim House,A man burnt charcoal and died at home
174,2017,10-06,Ngau Tau Kok,Choi Ying Estate,Ying Lok House,20 years old man fell from the apartment and died
175,2017,10-05,Tseung Kwan O,Sheung Tak Estate,Sheung Shun House,32 years old lady fell off the apartment and died
176,2017,10-05,Sau Mau Ping,Sau Mau Ping Estate,Sau Wo House,A man fell off the building and died
177,2017,10-05,Tuen Mun,Leung King Estate,Leung Shui House,40 years old man fell off the building and died
178,2017,10-03,Tseung Kwan O,,Tseung Kwan O Plaza Block 3,A man fell off the platform and died
179,2017,10-03,Sham Shui Po,,Tai Cheong Mansion,47 years old man hanged in the bedroom
180,2017,10-03,Yau Ma Tei,,Kim Tak Building,57 years old man fell off the building and died
181,2017,10-03,Ho Man Tin,Chun Man Court,Man Yin House,46 years old man fell off the building and died
182,2017,10-02,Sau Mau Ping,Sau Mau Ping Estate,Sau Ming House,An old man fell off the building and died
183,2017,09-30,Kowloon Bay,Tak Long Estate,Tak Yiu House,A woman fell off the building and died
184,2017,09-29,Sham Shui Po,Lai Kok Estate,Lai Huen House,55 years old man hanged at apartment
185,2017,09-29,Shatin,,Pai Tau Tsuen,39 years old man was died in his home
186,2017,09-26,Tin Shui Wai,Tin Tsz Estate,Tsz Fai House,30 years man fell off the building and died
187,2017,09-26,Kwun Tong,,Joyful Villas,61 years old woman fell off the building and died
188,2017,09-26,Kwun Tong,,Wah Fat Building,A mas died in a share room
189,2017,09-25,Causeway Bay,,Hoi To Court,A woman fell off the building and died
190,2017,09-25,Tai Po,Tai Yuen Estate,Tai Yan House,63 years old woman fell off the building and died
191,2017,09-25,North Point,Full Wealth Garden,Golden Pine Court,69 years old woman fell off from the apartment
192,2017,09-24,Tai Po,Fu Heng Estate,Heng Shing House,20 years old man fell off the building and died
193,2017,09-23,Mid-Levels West,,Robinson Place Tower 2,40 years old man fell off the building and died
194,2017,09-22,Wong Tai Sin,Tsz Hong Estate,Hong Yun House,A woman burnt charcoal and died at home
195,2017,09-21,Hung Hom,Whampoa Garden,Banyan Mansions Phase 4,Pest control worker fell off the building while working
196,2017,09-21,Lam Tin,Ping Tin Estate,Ping Wong House,56 years old man burnt charcoal and died at home
197,2017,09-20,Jordan,,Tak Hing Street,A man burnt charcoal and died at home
198,2017,09-20,Cheung Sha Wan,,Aqua Marine Tower 6,39 years old man burnt charcoal and died at home
199,2017,09-19,Tai Po,,Tai Po Centre,20 years old man fell off and died
200,2017,09-18,Yuen Long,Tin Yuet Estate,Yuet Wah House,23 years old man jumped off the apartment and died
201,2017,09-18,Fanling,Wah Ming Estate,Hong Ming House,63 years old woman fell off from the apartment
202,2017,09-18,Wong Tai Sin,Chuk Yuen (South) Estate,Kwai Yuen House,A woman fell off the building and died
203,2017,09-17,Wong Tai Sin,Tsz Ching Estate,Ching Ming House,45 years old man fell of the building and died
204,2017,09-15,Sham Shui Po,,276-278A Tai Nan Street,52 years old man hanged himself at home
205,2017,09-15,Kwai Chung,Kwai Shing East Estate,Shing Hing House,An old man died in his apartment
206,2017,09-13,North Point,,115 Electric Road,48 years old man committed suicide at home
207,2017,09-13,Tuen Mun,,Wu Kwong House,35 years old man fell of the building and died
208,2017,09-13,Kwun Tong,Shun Tin Estate,Tin Wan House,37 years old lady burnt charcoal and died at home
209,2017,09-12,Cheung Sha Wan,Lei Cheng Uk Estate,Lai Yeung House,22 years old man fell off the building due to the relationship problem
210,2017,09-11,Shek Kip Mei,Pak Tin Estate,Shui Tin House,70 years old man hanged himself in the apartment
211,2017,09-11,Mid-Levels West,,Fairview Height,71 years old man fell of the building and died
212,2017,09-10,Kwun Tong,Shun Lee Estate,Lee Cheung House,52 years old man fell of the building and died
213,2017,09-10,North Point,,Hing Hon Building,26 years old woman jumped off the apartment and died
214,2017,09-09,Tuen Mun,,Shan King Estate,A woman and son died in the apartment
215,2017,09-09,Kowloon Bay,Tak Long Estate,Tak Kei House,A 20 years old lady fell off and died
216,2017,09-08,Pok Fu Lam,Wah Fu Estate,Wah Ming House,25 years old man fell of the building and died
217,2017,09-07,Tsim Sha Tsui,Sorrento Tower 1,"41/F, Block 41",25 years old man fell off and died
218,2017,09-05,Ma On Shan,Kam Fung Court,Kam Huen House,A woman was found with blood stained clothing and was foaming from the mouth
219,2017,09-05,Hung Hom,Whampoa Garden,Lily Mansions,An old man fell off and died while wiping the window
220,2017,09-05,Yuen Long,,On Ning Road,26 years old lady hanged herself due to work working pressure
221,2017,09-05,Tsuen Wan,Riviera Gardens Block 10,Hoi Sing Mansion,80 years old man fell of the building and died
222,2017,09-05,Tuen Mun,,Rose Dale Garden,16 years old teenager left a letter at his apartment and fell off
223,2017,09-05,Lam Tin,Lam Tin Estate,Lam Bik House,70 years old man fell of the building and died
224,2017,09-04,Yau Ma Tei,,The Coronation,A couple fell off on the platform and died
225,2017,09-03,Ma On Shan,,Chevalier Garden,A man fell off and died
226,2017,09-03,Hung Hom,,Laguna Verde Block 19,23 years old tennager fell off and died
227,2017,09-02,To Kwa Wan,,I Feng Mansions Block A,36 years old man fell of the building and died
228,2017,09-02,Kwun Tong,Shun Lee Estate,Lee Yip House,82 years old man fell of the building and died
229,2017,08-30,Pok Fu Lam,Wah Fu Estate,Wah Ming House,65 years old woman fell off the apartment and died
230,2017,08-30,Shatin,Sun Chui Estate,Sun Fong House,A man fell off and died
231,2017,08-29,Mid-Levels Central,,Dynasty Court,66 years old woman died in the apartment
232,2017,08-28,Kwun Tong,Lok Wah North Estate,Ping Wah House,26 years old man fell off the building and died
233,2017,08-27,Sau Mau Ping,Sau Mau Ping Estate,Sau Yat House,A man fell off from the building and died
234,2017,08-26,To Kwa Wan,,Fung Yu Building,46 years old man fell off the building and died
235,2017,08-26,Causeway Bay,,Percival Street,15 years old lady jumped off the building due to relationship problem
236,2017,08-25,Wong Tai Sin,Choi Ha Estate,Pak Fung House,32 years old woman fell off the building and died
237,2017,08-23,Yuen Long,,Full Yau Court,40 years old man killed himself with pills
238,2017,08-22,Sai Wan Ho,,Tai On House,A middle-aged man fell off the building and died
239,2017,08-21,Yuen Long,,Dao Uk Tsuen,A woman hanged herself and died
240,2017,08-20,Shatin,,Ka Keng Court Block B,68 years old man fell off the apartment and died
241,2017,08-19,Lam Tin,Kai Tin Estate,Kai Yan House,A man hanged himself and died in the apartment
242,2017,08-19,Lam Tin,,Hong Shui Court,46 years old man burnt charcoal and died at home
243,2017,08-18,Kowloon Bay,Kai Ching Estate,Yuet Ching House,68 years old man jumped off due to financial problem
244,2017,08-17,Kowloon Bay,Kai Ching Estate,Yuet Ching House,79 years old man was burnt to death
245,2017,08-17,Lam Tin,Ping Tin Estate,Ping Shun House,51 years old woman with mental illness fell off the building
246,2017,08-14,Shek Kip Mei,Tai Hang Tung Estate,Tung Shing House,58 years old man fell off the building and died
247,2017,08-13,Ma On Shan,,Saddle Ridge Garden,87 years old man fell off the buliding
248,2017,08-13,Ngau Tau Kok,Upper Ngau Tau Kok Estate,Sheung Mun House,21 years old lady killed herself by inhaling helium
249,2017,08-12,Lok Fu,Lok Fu Estate,Lok Tung House,90 years old woman hanged herself in her bedroom and died
250,2017,08-11,Aberdeen,Lei Tung Estate,Tung Hing House,57 years old woman fell off the buliding
251,2017,08-10,Shatin,Shui Chuen O Estate,Ching Chuen House,18 years old lady burnt charcoal and died at home
252,2017,08-10,Kwun Tong,,On Shun Building,26 years old man fell off the building
253,2017,08-09,To Kwa Wan,,Po Tak Mansion,A man fell off the building and died
254,2017,08-07,Tai Po,Kwong Fuk Estate,Kwong Lai House,A middle-aged woman fell off from the building and died
255,2017,08-07,Tsuen Wan,Shek Wai Kok Estate,Shek Fong House,69 years old woman fell off the building and died
256,2017,08-07,Tuen Mun,,,51 years old man hanged himself in the bedroom and died
257,2017,08-06,Sheung Shui,Choi Yuen Estate,Choi Ping House,28 years old man hanged himself and died
258,2017,08-06,Jordan,,Fortune Terrace,18 years old teenager hanged himself in the toilet
259,2017,08-05,North Point,,Provident Centre,30 years old lady fell off to the pool side and died
260,2017,08-04,Chai Wan,Chai Wan Estate,Wan Ying House,52 years old woman hanged herself and died
261,2017,08-02,Kowloon Bay,Tak Long Estate,Tak Yiu House,42 years old man hanged himself in the apartment
262,2017,08-02,Ap Lei Chau,Ap Lei Chau Estate,Lei Chak House,54 years old woman fell off the building
263,2017,08-01,Shau Kei Wan,Oi Tung Estate,Oi Yuk House,A woman fell off to the platform and died
264,2017,07-30,Hung Hom,Whampoa Estate,Wing Fu Building,38 years old man fell off to the platform and died
265,2017,07-28,Cheung Sha Wan,Un Chau Estate,Un Hei House,79 years old man hanged himself in the toilet
266,2017,07-26,Tseung Kwan O,Kwong Ming Court Block 1,Kwong Ying House,17 years old man fell off from roof and died
267,2017,07-25,Hung Hom,Whampoa Garden Phase 4,Palm Mansions,31 years old woman fell off from the building and died
268,2017,07-25,Tseung Kwan O,Hau Tak Estate,Tak Chak House,50 years old woman jumped off the building and died
269,2017,07-24,Tseung Kwan O,Tsui Lam Estate,Choi Lam House,31 years old man fell off from the building and died
270,2017,07-19,Aberdeen,Wah Fu Estate,Wah Ming House,63 years old woman jumped off her apartment and died
271,2017,07-19,Chai Wan,Fung Wah Estate,Sau Fung House,44 years old woman jumped off her apartment and died
272,2017,07-17,Tai Po,Yat Nga Court,Yat Yan House,29 years old woman smothered herself to death
273,2017,07-16,Kwun Tong,,Cambria Court,A woman fell off from the building and died
274,2017,07-14,Fanling,Cheung Wah Estate,Cheung Wo House,A man fell off from the building and died
275,2017,07-14,Tai Po,Fu Shin Estate,Shin Tsui House,A man fell off from the building and died
276,2017,07-14,Wong Tai Sin,Choi Wan Estate,Ngan Ho House,A man fell off from the building and died
277,2017,07-13,Tsz Wan Shan,Tsz Ching Estate,Ching Wo House,50 years old man fell off from the building and died
278,2017,07-09,Lam Tin,Hong Nga Court,Tao Nga House,A man fell off from the building and died
279,2017,07-08,Cheung Sha Wan,Hoi Lai Estate,Hoi Shui House,60 years old man died in his apartment
280,2017,07-07,Tseung Kwan O,Sheung Tak Estate,Sheung Chi House,A man fell off from the building and died
281,2017,07-06,Tsz Wan Shan,Tsz Lok Estate,Lok Cheung House,50 years old man died in his apartment
282,2017,07-06,Sheung Shui,Tin Ping Estate,Tin Long House,60 years old man fell off the building and died
283,2017,07-05,Wong Tai Sin,Chuk Yuen South Estate,Sau Yuen House,70 years old woman fell off the building and died
284,2017,07-05,Wong Tai Sin,Chuk Yuen South Estate,Wing Yuen House,23 years old man fell off the building due to relationship problem
285,2017,07-04,Chai Wan,Hang Tsui Court,Tsui Ching House,50 years old man fell off the building and died
286,2017,07-04,Tin Shui Wai,,Hang Tau Village,50 years old man burnt charcoal and died at home
287,2017,07-03,Tuen Mun,Tin King Estate,Tin Lok House,32 years old man died in his apartment
288,2017,07-03,Yau Ma Tei,,130 Shanghai Street,51 years old woman died in her unit
289,2017,07-03,Sheung Shui,Tin Ping Estate,Tin Cheung House,30 years old man burnt charcoal and died at home
290,2017,07-03,Shouson Hill,,The Hazelton,60 years old man hanged himself and died at his home
291,2017,07-03,Tsing Yi,Cheung Ching Estate,Ching Chung House,A man fell off from the building and died
292,2017,07-02,Hung Hom,,Hing Wah Building,A man hanged himself and died in the apartment
293,2017,07-01,Yuen Long,,Yik Fat Building,31 years old man burnt charcoal and died at home
294,2017,07-01,Cheung Sha Wan,Hoi Lai Estate,Hoi Hei House,88 years old lady fell off the apartment due to illness
295,2017,06-30,Tin Shui Wai,Tin Yan Estate,Yan Chi House,50 years old man died at home
296,2017,06-28,Sai Wan Ho,Lei King Wan,Yat Wah Mansion,A 19 years old teenager jumped off the building and died
